rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
99,frame_0075.jpg,30.0,0.5046,0.5251,0.1667,0.96,7,1,False,False
100,frame_0391.jpg,156.4,0.5034,0.5907,0.6667,0.04,11,4,False,False
101,frame_0095.jpg,38.0,0.5027,0.7415,0.3333,0.16,6,2,False,False
102,frame_0068.jpg,27.2,0.5024,0.5047,0.1667,1.0,7,1,False,False
103,frame_0395.jpg,158.0,0.497,0.5459,0.6667,0.12,6,4,False,False
104,frame_0328.jpg,131.2,0.495,0.658,0.5,0.08,15,3,False,False
105,frame_0310.jpg,124.0,0.4947,0.5574,0.6667,0.08,10,4,False,False
106,frame_0324.jpg,129.6,0.4938,0.5556,0.6667,0.08,9,4,False,False
107,frame_0225.jpg,90.0,0.4937,0.7555,0.3333,0.08,11,2,False,False
108,frame_0316.jpg,126.4,0.4917,0.6193,0.5,0.16,8,3,False,False
109,frame_0179.jpg,71.6,0.4911,0.6343,0.5,0.12,8,3,False,False
110,frame_0278.jpg,111.2,0.4866,0.7452,0.1667,0.32,7,1,False,False
111,frame_0226.jpg,90.4,0.4844,0.7528,0.3333,0.04,6,2,False,False
112,frame_0116.jpg,46.4,0.4794,0.5148,0.5,0.36,8,3,False,False
113,frame_0275.jpg,110.0,0.4794,0.6789,0.3333,0.2,10,2,False,False
114,frame_0283.jpg,113.2,0.477,0.446,0.5,0.52,8,3,False,False
115,frame_0120.jpg,48.0,0.4766,0.4452,0.5,0.52,8,3,False,False
116,frame_0072.jpg,28.8,0.4744,0.4488,0.1667,1.0,8,1,False,False
117,frame_0333.jpg,133.2,0.4743,0.7166,0.3333,0.08,10,2,False,False
118,frame_0019.jpg,7.6,0.4728,0.3457,0.3333,1.0,4,2,False,False
119,frame_0373.jpg,149.2,0.4725,0.4809,0.6667,0.16,11,4,False,False
120,frame_0171.jpg,68.4,0.472,0.5681,0.3333,0.44,7,2,False,False
121,frame_0207.jpg,82.8,0.4689,0.4178,0.3333,0.8,4,2,False,False
122,frame_0223.jpg,89.2,0.468,0.572,0.5,0.16,9,3,False,False
123,frame_0128.jpg,51.2,0.4639,0.4918,0.1667,0.84,8,1,False,False
124,frame_0321.jpg,128.4,0.4627,0.5455,0.5,0.2,10,3,False,False
125,frame_0109.jpg,43.6,0.4622,0.4924,0.6667,0.08,12,4,False,False
126,frame_0295.jpg,118.0,0.4611,0.5501,0.1667,0.68,8,1,False,False
127,frame_0010.jpg,4.0,0.4584,0.4167,0.1667,1.0,3,1,False,False
128,frame_0023.jpg,9.2,0.4583,0.4166,0.1667,1.0,3,1,False,False
129,frame_0086.jpg,34.4,0.4579,0.4078,0.5,0.52,6,3,False,False
130,frame_0209.jpg,83.6,0.4551,0.5222,0.1667,0.72,5,1,False,False
131,frame_0305.jpg,122.0,0.454,0.596,0.3333,0.28,7,2,False,False
132,frame_0168.jpg,67.2,0.4531,0.4822,0.3333,0.56,9,2,False,False
133,frame_0078.jpg,31.2,0.4522,0.4684,0.1667,0.84,8,1,False,False
134,frame_0015.jpg,6.0,0.4449,0.4897,0.0,1.0,5,0,False,False
135,frame_0001.jpg,0.4,0.4441,0.3882,0.1667,1.0,10,1,False,False
